Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,FIPS
43444.0,44755.0,27031.0,40987.0,39435.0,35563.0,06007
53233.0,55242.0,,,,54750.0,06009
52168.0,54123.0,,55208.0,,45092.0,06011
80185.0,85459.0,50343.0,56250.0,100536.0,58299.0,06013
40847.0,42245.0,9141.0,50689.0,,24340.0,06015
69584.0,70097.0,98140.0,48958.0,116625.0,47863.0,06017
45233.0,50386.0,26110.0,36631.0,50683.0,36022.0,06019
39349.0,41957.0,26389.0,36483.0,19181.0,35973.0,06021
42197.0,44095.0,28504.0,27097.0,32823.0,35800.0,06023
41079.0,42589.0,57321.0,36250.0,81128.0,37110.0,06025
45955.0,46694.0,65625.0,37148.0,,45514.0,06027
49026.0,50315.0,32429.0,33876.0,71908.0,39686.0,06029
46481.0,48190.0,40991.0,38816.0,63568.0,37384.0,06031
35578.0,37724.0,24111.0,32750.0,42075.0,31597.0,06033
51555.0,51130.0,48500.0,61905.0,,46667.0,06035
56196.0,62124.0,40665.0,46394.0,66356.0,45320.0,06037
45073.0,45095.0,35661.0,33516.0,53889.0,39124.0,06039
93257.0,101129.0,54225.0,,89630.0,48813.0,06041
47681.0,48529.0,,46111.0,,37976.0,06043
42980.0,44531.0,19323.0,30598.0,49500.0,35090.0,06045
42462.0,45504.0,32605.0,35347.0,50354.0,37404.0,06047
37860.0,38375.0,,35385.0,32813.0,26445.0,06049
56944.0,61066.0,,,86250.0,45076.0,06051
58783.0,59228.0,59634.0,58361.0,68208.0,48236.0,06053
71379.0,72220.0,73003.0,50369.0,99486.0,52459.0,06055
56521.0,56538.0,,60134.0,71462.0,45869.0,06057
76509.0,79914.0,66555.0,55123.0,80739.0,56510.0,06059
73948.0,73888.0,85580.0,60563.0,102714.0,54294.0,06061
47333.0,48809.0,,38377.0,23355.0,30918.0,06063
56603.0,58994.0,52127.0,46960.0,71601.0,48510.0,06065
55987.0,60420.0,38792.0,48547.0,61374.0,45042.0,06067
71077.0,71115.0,75972.0,63750.0,92727.0,59295.0,06069
53433.0,55421.0,40705.0,41581.0,72134.0,49633.0,06071
64309.0,65480.0,50227.0,56297.0,81673.0,47896.0,06073
81294.0,100091.0,29800.0,36198.0,69577.0,57948.0,06075
53274.0,56313.0,37428.0,37697.0,61128.0,44550.0,06077
60691.0,61694.0,63224.0,46250.0,59421.0,48178.0,06079
93623.0,97207.0,56213.0,70792.0,107531.0,61383.0,06081
63985.0,66814.0,51695.0,57699.0,68710.0,49516.0,06083
96310.0,94691.0,64219.0,55508.0,116152.0,61124.0,06085
67256.0,69441.0,63977.0,32056.0,68528.0,48648.0,06087
44620.0,45180.0,39193.0,40240.0,45983.0,36457.0,06089
42833.0,42396.0,,,,18194.0,06091
37170.0,38610.0,17784.0,22230.0,39500.0,30472.0,06093
66828.0,71497.0,50790.0,50324.0,83281.0,55834.0,06095
64240.0,66800.0,60091.0,53208.0,69885.0,51334.0,06097
50125.0,51489.0,37772.0,37049.0,57620.0,42964.0,06099
52017.0,53549.0,57432.0,55156.0,51821.0,40639.0,06101
41001.0,40919.0,,38125.0,58109.0,43545.0,06103
34974.0,35474.0,,18205.0,,,06105
42031.0,42513.0,22458.0,36199.0,57851.0,34677.0,06107
50306.0,50883.0,30972.0,43182.0,52330.0,48225.0,06109
77348.0,76839.0,74474.0,59457.0,103602.0,59009.0,06111
54989.0,59421.0,36208.0,53810.0,46215.0,46885.0,06113
46892.0,48312.0,37386.0,31712.0,52528.0,41341.0,06115
58946.0,60451.0,43031.0,56750.0,58984.0,46978.0,08001
32395.0,32353.0,24931.0,54000.0,,24268.0,08003
63265.0,68266.0,46143.0,44038.0,66821.0,44998.0,08005
46646.0,48588.0,,,,35361.0,08007
38000.0,38833.0,,,,32500.0,08009
36791.0,37982.0,,8929.0,,31154.0,08011
