M_With,M_Without,F_With,F_Without,All_With,All_Without,FIPS
1787,128,1782,125,3569,253,19003
6267,742,6077,667,12344,1409,19005
5533,706,5627,672,11160,1378,19007
2562,254,2676,227,5238,481,19009
12198,616,12243,509,24441,1125,19011
59036,5024,62677,4475,121713,9499,19013
11723,1177,12144,725,23867,1902,19015
11386,568,11904,318,23290,886,19017
9284,996,9578,887,18862,1883,19019
9022,1388,8938,886,17960,2274,19021
6876,437,6901,491,13777,928,19023
4349,298,4471,263,8820,561,19025
9502,392,9945,427,19447,819,19027
6042,505,6474,308,12516,813,19029
8437,466,8851,379,17288,845,19031
19432,1546,20426,1418,39858,2964,19033
5309,509,5252,390,10561,899,19035
5706,396,5630,384,11336,780,19037
3958,680,4065,439,8023,1119,19039
7388,616,7707,544,15095,1160,19041
8115,684,8114,656,16229,1340,19043
21990,1640,22956,1284,44946,2924,19045
7484,1129,7631,807,15115,1936,19047
34604,2002,36040,1736,70644,3738,19049
3242,1023,3150,1212,6392,2235,19051
3601,468,3449,622,7050,1090,19053
8234,452,8359,297,16593,749,19055
17543,1763,19146,1255,36689,3018,19057
7864,524,7901,469,15765,993,19059
44017,2826,45546,2267,89563,5093,19061
4217,614,4425,389,8642,1003,19063
9182,997,9220,835,18402,1832,19065
7168,721,7339,613,14507,1334,19067
4792,399,4761,384,9553,783,19069
3162,317,3270,234,6432,551,19071
4174,252,4412,221,8586,473,19073
5728,300,6002,225,11730,525,19075
4793,474,4992,343,9785,817,19077
6519,842,7204,528,13723,1370,19079
5254,289,5137,260,10391,549,19081
7755,617,7942,535,15697,1152,19083
6389,699,6658,472,13047,1171,19085
8589,702,8945,648,17534,1350,19087
4305,326,4313,376,8618,702,19089
4394,301,4616,246,9010,547,19091
3226,300,3149,267,6375,567,19093
7475,521,7678,421,15153,942,19095
8854,774,8959,794,17813,1568,19097
15903,1312,16644,1164,32547,2476,19099
7808,1132,7504,729,15312,1861,19101
62291,5726,65282,4449,127573,10175,19103
8896,559,9288,493,18184,1052,19105
4763,393,4784,228,9547,621,19107
7112,425,7158,327,14270,752,19109
15554,1813,15861,1472,31415,3285,19111
98672,7125,102735,6117,201407,13242,19113
5331,366,5018,426,10349,792,19115
3889,436,3961,312,7850,748,19117
5292,567,5245,449,10537,1016,19119
7185,541,7336,395,14521,936,19121
10334,800,10558,470,20892,1270,19123
15729,734,15889,647,31618,1381,19125
18265,1919,18398,1389,36663,3308,19127
6865,528,6811,418,13676,946,19129
4662,625,4802,456,9464,1081,19131
4113,336,4084,343,8197,679,19133
3490,602,3357,417,6847,1019,19135
4447,518,4980,327,9427,845,19137
19539,1665,19543,1683,39082,3348,19139
6514,472,6423,477,12937,949,19141
